Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 10, 'n_head': 10, 'n_kv_head': 10, 'n_embd': 640, 'window_pattern': 'SSSL'}
Parameter counts:
  wte                     : 5,242,880
  value_embeds            : 26,214,400
  lm_head                 : 5,242,880
  transformer_matrices    : 49,153,600
  scalars                 : 20
  total                   : 85,853,780
Estimated FLOPs per token: 3.873274e+08
Scaling AdamW LRs by 1/sqrt(640/768) = 1.095445
Time budget: 450s
Gradient accumulation steps: 1

step 00000 (0.0%) | loss: 9.011343 | lrm: 1.00 | dt: 24330ms | tok/sec: 10,774 | mfu: 0.4% | epoch: 1 | remaining: 450s    
step 00001 (0.0%) | loss: 9.197117 | lrm: 1.00 | dt: 248ms | tok/sec: 1,058,714 | mfu: 41.4% | epoch: 1 | remaining: 450s    
step 00002 (0.0%) | loss: 9.106882 | lrm: 1.00 | dt: 252ms | tok/sec: 1,038,935 | mfu: 40.7% | epoch: 1 | remaining: 450s    
step 00003 (0.0%) | loss: 8.747509 | lrm: 1.00 | dt: 252ms | tok/sec: 1,041,623 | mfu: 40.8% | epoch: 1 | remaining: 450s    
step 00004 (0.0%) | loss: 8.464473 | lrm: 1.00 | dt: 273ms | tok/sec: 958,754 | mfu: 37.5% | epoch: 1 | remaining: 450s    
step 00005 (0.0%) | loss: 8.198006 | lrm: 1.00 | dt: 258ms | tok/sec: 1,017,255 | mfu: 39.8% | epoch: 1 | remaining: 450s    
step 00006 (0.0%) | loss: 7.979966 | lrm: 1.00 | dt: 253ms | tok/sec: 1,036,919 | mfu: 40.6% | epoch: 1 | remaining: 450s    
step 00007 (0.0%) | loss: 7.780974 | lrm: 1.00 | dt: 254ms | tok/sec: 1,031,070 | mfu: 40.4% | epoch: 1 | remaining: 450s    
step 00008 (0.0%) | loss: 7.591804 | lrm: 1.00 | dt: 265ms | tok/sec: 987,564 | mfu: 38.7% | epoch: 1 | remaining: 450s    
step 00009 (0.0%) | loss: 7.402595 | lrm: 1.00 | dt: 260ms | tok/sec: 1,010,032 | mfu: 39.5% | epoch: 1 | remaining: 450s    
step 00010 (0.0%) | loss: 7.225076 | lrm: 1.00 | dt: 254ms | tok/sec: 1,033,947 | mfu: 40.5% | epoch: 1 | remaining: 450s    
step 00011 (0.0%) | loss: 7.054130 | lrm: 1.00 | dt: 259ms | tok/sec: 1,012,266 | mfu: 39.6% | epoch: 1 | remaining: 450s    
step 00012 (0.1%) | loss: 6.897404 | lrm: 1.00 | dt: 263ms | tok/sec: 995,100 | mfu: 39.0% | epoch: 1 | remaining: 449s    
step 00013 (0.1%) | loss: 6.757242 | lrm: 1.00 | dt: 259ms | tok/sec: 1,011,657 | mfu: 39.6% | epoch: 1 | remaining: 449s    
step 00014 (0.2%) | loss: 6.630400 | lrm: 1.00 | dt: 255ms | tok/sec: 1,028,478 | mfu: 40.3% | epoch: 1 | remaining: 449s    
step 00015 (0.2%) | loss: 6.512011 | lrm: 1.00 | dt: 262ms | tok/sec: 1,001,923 | mfu: 39.2% | epoch: 1 | remaining: 449s    
step 00016 (0.3%) | loss: 6.406873 | lrm: 1.00 | dt: 262ms | tok/sec: 1,001,063 | mfu: 39.2% | epoch: 1 | remaining: 448s    
step 00017 (0.3%) | loss: 6.308020 | lrm: 1.00 | dt: 259ms | tok/sec: 1,011,567 | mfu: 39.6% | epoch: 1 | remaining: 448s    
step 00018 (0.4%) | loss: 6.220304 | lrm: 1.00 | dt: 256ms | tok/sec: 1,025,211 | mfu: 40.1% | epoch: 1 | remaining: 448s    
step 00019 (0.5%) | loss: 6.138514 | lrm: 1.00 | dt: 261ms | tok/sec: 1,004,056 | mfu: 39.3% | epoch: 1 | remaining: 448s    
step 00020 (0.5%) | loss: 6.063484 | lrm: 1.00 | dt: 262ms | tok/sec: 999,531 | mfu: 39.1% | epoch: 1 | remaining: 447s    
step 00021 (0.6%) | loss: 5.995980 | lrm: 1.00 | dt: 261ms | tok/sec: 1,005,016 | mfu: 39.3% | epoch: 1 | remaining: 447s    
step 00022 (0.6%) | loss: 5.936487 | lrm: 1.00 | dt: 258ms | tok/sec: 1,015,157 | mfu: 39.7% | epoch: 1 | remaining: 447s    
step 00023 (0.7%) | loss: 5.879930 | lrm: 1.00 | dt: 262ms | tok/sec: 1,001,980 | mfu: 39.2% | epoch: 1 | remaining: 447s    
step 00024 (0.8%) | loss: 5.828460 | lrm: 1.00 | dt: 258ms | tok/sec: 1,015,331 | mfu: 39.7% | epoch: 1 | remaining: 446s    
step 00025 (0.8%) | loss: 5.778715 | lrm: 1.00 | dt: 261ms | tok/sec: 1,002,568 | mfu: 39.2% | epoch: 1 | remaining: 446s    
step 00026 (0.9%) | loss: 5.733025 | lrm: 1.00 | dt: 259ms | tok/sec: 1,012,379 | mfu: 39.6% | epoch: 1 | remaining: 446s    
step 00027 (0.9%) | loss: 5.688600 | lrm: 1.00 | dt: 260ms | tok/sec: 1,008,697 | mfu: 39.5% | epoch: 1 | remaining: 446s    
step 00028 (1.0%) | loss: 5.649733 | lrm: 1.00 | dt: 260ms | tok/sec: 1,007,220 | mfu: 39.4% | epoch: 1 | remaining: 445s    
step 00029 (1.0%) | loss: 5.612247 | lrm: 1.00 | dt: 258ms | tok/sec: 1,014,121 | mfu: 39.7% | epoch: 1 | remaining: 445s    
step 00030 (1.1%) | loss: 5.573788 | lrm: 1.00 | dt: 258ms | tok/sec: 1,014,332 | mfu: 39.7% | epoch: 1 | remaining: 445s    
