Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 9, 'n_head': 5, 'n_kv_head': 5, 'n_embd': 640, 'window_pattern': 'SSSSSSLLL'}
Parameter counts:
  wte                     : 5,242,880
  value_embeds            : 26,214,400
  lm_head                 : 5,242,880
  transformer_matrices    : 44,237,600
  scalars                 : 18
  total                   : 80,937,778
Estimated FLOPs per token: 3.617635e+08
Scaling AdamW LRs by 1/sqrt(640/768) = 1.095445
Time budget: 300s
Gradient accumulation steps: 1

step 00000 (0.0%) | loss: 9.011345 | lrm: 1.00 | dt: 23979ms | tok/sec: 10,932 | mfu: 0.4% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.845531 | lrm: 1.00 | dt: 387ms | tok/sec: 677,993 | mfu: 24.8% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.436906 | lrm: 1.00 | dt: 407ms | tok/sec: 643,507 | mfu: 23.5% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 7.966297 | lrm: 1.00 | dt: 486ms | tok/sec: 539,778 | mfu: 19.7% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 7.586471 | lrm: 1.00 | dt: 430ms | tok/sec: 609,750 | mfu: 22.3% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.255511 | lrm: 1.00 | dt: 473ms | tok/sec: 554,351 | mfu: 20.3% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.005988 | lrm: 1.00 | dt: 439ms | tok/sec: 597,251 | mfu: 21.8% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 6.803544 | lrm: 1.00 | dt: 459ms | tok/sec: 570,794 | mfu: 20.9% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 6.632407 | lrm: 1.00 | dt: 446ms | tok/sec: 587,954 | mfu: 21.5% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.487732 | lrm: 1.00 | dt: 451ms | tok/sec: 580,767 | mfu: 21.2% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.367878 | lrm: 1.00 | dt: 454ms | tok/sec: 577,077 | mfu: 21.1% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.261905 | lrm: 1.00 | dt: 446ms | tok/sec: 588,027 | mfu: 21.5% | epoch: 1 | remaining: 300s    
step 00012 (0.1%) | loss: 6.166564 | lrm: 1.00 | dt: 456ms | tok/sec: 574,661 | mfu: 21.0% | epoch: 1 | remaining: 299s    
step 00013 (0.3%) | loss: 6.086189 | lrm: 1.00 | dt: 450ms | tok/sec: 582,245 | mfu: 21.3% | epoch: 1 | remaining: 299s    
step 00014 (0.5%) | loss: 6.015103 | lrm: 1.00 | dt: 454ms | tok/sec: 576,992 | mfu: 21.1% | epoch: 1 | remaining: 298s    
step 00015 (0.6%) | loss: 5.949343 | lrm: 1.00 | dt: 452ms | tok/sec: 580,602 | mfu: 21.2% | epoch: 1 | remaining: 298s    
