Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 10, 'n_head': 5, 'n_kv_head': 5, 'n_embd': 640, 'window_pattern': 'SSSL'}
Parameter counts:
  wte                     : 5,242,880
  value_embeds            : 26,214,400
  lm_head                 : 5,242,880
  transformer_matrices    : 49,178,450
  scalars                 : 20
  total                   : 85,878,630
Estimated FLOPs per token: 4.012390e+08
Scaling AdamW LRs by 1/sqrt(640/768) = 1.095445
Time budget: 1200s
Gradient accumulation steps: 1

step 00000 (0.0%) | loss: 9.011343 | lrm: 1.00 | dt: 26648ms | tok/sec: 9,837 | mfu: 0.4% | epoch: 1 | remaining: 1200s    
step 00001 (0.1%) | loss: 9.196765 | lrm: 1.00 | dt: 350ms | tok/sec: 749,064 | mfu: 30.4% | epoch: 1 | remaining: 1200s    
step 00002 (0.1%) | loss: 9.106667 | lrm: 1.00 | dt: 352ms | tok/sec: 745,609 | mfu: 30.2% | epoch: 1 | remaining: 1200s    
step 00003 (0.2%) | loss: 8.744879 | lrm: 1.00 | dt: 357ms | tok/sec: 734,231 | mfu: 29.8% | epoch: 1 | remaining: 1200s    
step 00004 (0.2%) | loss: 8.459983 | lrm: 1.00 | dt: 351ms | tok/sec: 745,902 | mfu: 30.2% | epoch: 1 | remaining: 1200s    
step 00005 (0.3%) | loss: 8.193187 | lrm: 1.00 | dt: 352ms | tok/sec: 745,166 | mfu: 30.2% | epoch: 1 | remaining: 1200s    
step 00006 (0.3%) | loss: 7.974858 | lrm: 1.00 | dt: 357ms | tok/sec: 734,991 | mfu: 29.8% | epoch: 1 | remaining: 1200s    
step 00007 (0.4%) | loss: 7.776139 | lrm: 1.00 | dt: 354ms | tok/sec: 741,271 | mfu: 30.1% | epoch: 1 | remaining: 1200s    
step 00008 (0.4%) | loss: 7.586350 | lrm: 1.00 | dt: 352ms | tok/sec: 744,231 | mfu: 30.2% | epoch: 1 | remaining: 1200s    
step 00009 (0.5%) | loss: 7.396434 | lrm: 1.00 | dt: 356ms | tok/sec: 737,149 | mfu: 29.9% | epoch: 1 | remaining: 1200s    
step 00010 (0.6%) | loss: 7.219789 | lrm: 1.00 | dt: 353ms | tok/sec: 742,197 | mfu: 30.1% | epoch: 1 | remaining: 1200s    
step 00011 (0.6%) | loss: 7.049798 | lrm: 1.00 | dt: 352ms | tok/sec: 744,402 | mfu: 30.2% | epoch: 1 | remaining: 1200s    
step 00012 (0.7%) | loss: 6.894256 | lrm: 1.00 | dt: 356ms | tok/sec: 735,759 | mfu: 29.8% | epoch: 1 | remaining: 1199s    
step 00013 (0.7%) | loss: 6.754654 | lrm: 1.00 | dt: 355ms | tok/sec: 738,105 | mfu: 29.9% | epoch: 1 | remaining: 1199s    
step 00014 (0.8%) | loss: 6.627746 | lrm: 1.00 | dt: 354ms | tok/sec: 740,375 | mfu: 30.0% | epoch: 1 | remaining: 1199s    
step 00015 (0.8%) | loss: 6.509686 | lrm: 1.00 | dt: 357ms | tok/sec: 734,916 | mfu: 29.8% | epoch: 1 | remaining: 1198s    
step 00016 (0.9%) | loss: 6.405581 | lrm: 1.00 | dt: 359ms | tok/sec: 730,920 | mfu: 29.6% | epoch: 1 | remaining: 1198s    
step 00017 (0.9%) | loss: 6.307287 | lrm: 1.00 | dt: 352ms | tok/sec: 744,639 | mfu: 30.2% | epoch: 1 | remaining: 1198s    
step 00018 (1.0%) | loss: 6.220190 | lrm: 1.00 | dt: 354ms | tok/sec: 740,926 | mfu: 30.0% | epoch: 1 | remaining: 1197s    
step 00019 (1.1%) | loss: 6.139264 | lrm: 1.00 | dt: 355ms | tok/sec: 738,857 | mfu: 30.0% | epoch: 1 | remaining: 1197s    
step 00020 (1.1%) | loss: 6.064830 | lrm: 1.00 | dt: 355ms | tok/sec: 737,905 | mfu: 29.9% | epoch: 1 | remaining: 1196s    
step 00021 (1.2%) | loss: 5.997885 | lrm: 1.00 | dt: 354ms | tok/sec: 739,864 | mfu: 30.0% | epoch: 1 | remaining: 1196s    
step 00022 (1.2%) | loss: 5.939230 | lrm: 1.00 | dt: 353ms | tok/sec: 741,842 | mfu: 30.1% | epoch: 1 | remaining: 1196s    
step 00023 (1.3%) | loss: 5.883083 | lrm: 1.00 | dt: 356ms | tok/sec: 735,740 | mfu: 29.8% | epoch: 1 | remaining: 1195s    
step 00024 (1.3%) | loss: 5.831336 | lrm: 1.00 | dt: 359ms | tok/sec: 730,188 | mfu: 29.6% | epoch: 1 | remaining: 1195s    
step 00025 (1.4%) | loss: 5.781591 | lrm: 1.00 | dt: 356ms | tok/sec: 736,516 | mfu: 29.9% | epoch: 1 | remaining: 1195s    
step 00026 (1.4%) | loss: 5.735381 | lrm: 1.00 | dt: 354ms | tok/sec: 739,679 | mfu: 30.0% | epoch: 1 | remaining: 1194s    
step 00027 (1.5%) | loss: 5.690889 | lrm: 1.00 | dt: 355ms | tok/sec: 738,219 | mfu: 29.9% | epoch: 1 | remaining: 1194s    
step 00028 (1.6%) | loss: 5.651883 | lrm: 1.00 | dt: 355ms | tok/sec: 737,510 | mfu: 29.9% | epoch: 1 | remaining: 1194s    
step 00029 (1.6%) | loss: 5.614220 | lrm: 1.00 | dt: 358ms | tok/sec: 732,706 | mfu: 29.7% | epoch: 1 | remaining: 1193s    
step 00030 (1.7%) | loss: 5.574737 | lrm: 1.00 | dt: 356ms | tok/sec: 735,471 | mfu: 29.8% | epoch: 1 | remaining: 1193s    
step 00031 (1.7%) | loss: 5.539024 | lrm: 1.00 | dt: 355ms | tok/sec: 738,864 | mfu: 30.0% | epoch: 1 | remaining: 1193s    
step 00032 (1.8%) | loss: 5.505268 | lrm: 1.00 | dt: 357ms | tok/sec: 734,814 | mfu: 29.8% | epoch: 1 | remaining: 1192s    
step 00033 (1.8%) | loss: 5.473234 | lrm: 1.00 | dt: 358ms | tok/sec: 731,654 | mfu: 29.7% | epoch: 1 | remaining: 1192s    
step 00034 (1.9%) | loss: 5.441403 | lrm: 1.00 | dt: 358ms | tok/sec: 733,151 | mfu: 29.7% | epoch: 1 | remaining: 1191s    
step 00035 (1.9%) | loss: 5.409461 | lrm: 1.00 | dt: 357ms | tok/sec: 735,304 | mfu: 29.8% | epoch: 1 | remaining: 1191s    
step 00036 (2.0%) | loss: 5.378212 | lrm: 1.00 | dt: 358ms | tok/sec: 731,369 | mfu: 29.7% | epoch: 1 | remaining: 1191s    
step 00037 (2.1%) | loss: 5.348801 | lrm: 1.00 | dt: 356ms | tok/sec: 735,959 | mfu: 29.8% | epoch: 1 | remaining: 1190s    
step 00038 (2.1%) | loss: 5.318294 | lrm: 1.00 | dt: 354ms | tok/sec: 741,431 | mfu: 30.1% | epoch: 1 | remaining: 1190s    
step 00039 (2.2%) | loss: 5.288200 | lrm: 1.00 | dt: 355ms | tok/sec: 738,512 | mfu: 29.9% | epoch: 1 | remaining: 1190s    
step 00040 (2.2%) | loss: 5.262191 | lrm: 1.00 | dt: 358ms | tok/sec: 732,847 | mfu: 29.7% | epoch: 1 | remaining: 1189s    
step 00041 (2.3%) | loss: 5.232949 | lrm: 1.00 | dt: 356ms | tok/sec: 736,229 | mfu: 29.9% | epoch: 1 | remaining: 1189s    
step 00042 (2.3%) | loss: 5.206790 | lrm: 1.00 | dt: 355ms | tok/sec: 738,297 | mfu: 29.9% | epoch: 1 | remaining: 1189s    
step 00043 (2.4%) | loss: 5.177706 | lrm: 1.00 | dt: 356ms | tok/sec: 736,726 | mfu: 29.9% | epoch: 1 | remaining: 1188s    
step 00044 (2.4%) | loss: 5.150911 | lrm: 1.00 | dt: 355ms | tok/sec: 738,171 | mfu: 29.9% | epoch: 1 | remaining: 1188s    
step 00045 (2.5%) | loss: 5.126367 | lrm: 1.00 | dt: 358ms | tok/sec: 733,001 | mfu: 29.7% | epoch: 1 | remaining: 1188s    
step 00046 (2.6%) | loss: 5.098905 | lrm: 1.00 | dt: 360ms | tok/sec: 728,928 | mfu: 29.6% | epoch: 1 | remaining: 1187s    
step 00047 (2.6%) | loss: 5.070238 | lrm: 1.00 | dt: 356ms | tok/sec: 736,508 | mfu: 29.9% | epoch: 1 | remaining: 1187s    
