commit	val_bpb	memory_gb	status	description
e6d79c1	1.350108	26.1	keep	baseline
fc6adf6	1.353994	24.1	discard	VE LR 0.3 (halved from 0.6) — bilinear coupling hypothesis — marginal regression
722c18a	1.348613	24.1	keep	warmdown ratio 0.5→0.3 — more steps at full LR
3c3f0b0	1.344953	24.1	keep	x0_lambdas init 0.1→0.2 — stronger input skip in shallow model
bf6c082	1.347956	24.1	discard	softcap 15→30 — regression, softcap=15 is better for this arch
fc305ff	1.496132	31.9	discard	differential attention (manual attention path) — 40% slower, OOM-adjacent, only 228 steps
0145d30	1.413882	34.4	discard	HEAD_DIM 128→64 (4 heads) — MPS SDPA scales memory with head count, 254 steps
94ea8b4	1.363247	24.7	discard	warmdown 0.3→0.15 — too little cooldown hurts convergence
34ebb94	1.332807	12.4	keep	batch 32→16, 65K→32K tokens/step — 569 steps, best improvement -0.012
b978c2c	1.325292	6.5	keep	batch 16→8, 32K→16K tokens/step — 1195 steps, -0.020 from original
a163612	1.349339	3.7	discard	batch 8→4, 8K tokens/step — too noisy, 2336 steps but regression
601d109	1.330891	7.6	discard	ASPECT_RATIO 64→96 (384-dim, 19.7M params) — more capacity but fewer steps (842 vs 1195)
c7a29c9	1.328005	6.0	discard	Muon LR 0.04→0.06 — slight regression, 0.04 better for batch=8
8385c09	1.317505	6.0	keep	Muon LR 0.04→0.03 — lower LR with noisy batch=8 gradients, -0.008
3831853	1.316588	6.0	keep	Muon LR 0.03→0.02 — marginal further improvement -0.001
9e9932a	1.309136	6.1	keep	x0_lambdas 0.2→0.3 — stronger input skip in batch=8 regime, -0.007
62d0269	1.309913	6.1	discard	x0_lambdas 0.3→0.4 — marginal regression, 0.3 is optimal
3749627	1.316859	6.1	discard	5% LR warmup — wasted steps at reduced LR hurt more than stability helped
15357aa	1.312189	6.1	discard	[EXPLORATORY] embedding LR 0.6→0.3 — regression, 0.6 is better
a971a22	1.313677	6.1	discard	Muon momentum 0.95→0.97 — too sluggish, 0.95 is better
c6acfec	1.339394	6.6	discard	[EXPLORATORY] VE disabled — large regression, VE is essential
a971a22	1.313677	6.1	discard	Muon momentum 0.95→0.97 — too sluggish
3749627	1.316859	6.1	discard	5% warmup — wasted steps
15357aa	1.312189	6.1	discard	embedding LR 0.6→0.3 — worse
8cbb1dc	1.316163	7.1	discard	VE on all layers — alternating pattern is better
57345c1	1.319839	4.8	discard	batch 8→6 (12K tokens/step) — worse, batch=8 is the sweet spot
fbc7624	1.309109	6.0	keep	weight decay 0.2→0.1 — essentially flat, marginal improvement
9bcb1a4	1.317445	6.1	discard	unembedding LR 0.004→0.008 — regression, 0.004 is better
53b18c2	1.311372	6.1	discard	gradient clipping max_norm=1.0 — constrains useful signal
b634de7	1.313757	6.1	discard	Adam β1 0.8→0.9 — regression, 0.8 is better for this arch
adcbd4b	1.313077	6.0	discard	warmdown 0.3→0.2 + FINAL_LR_FRAC 0→0.1 — cosine-to-zero is optimal
40eb836	1.321776	7.1	discard	depth 4→5 (256-dim preserved) — steps more important than depth
d48f580	1.610793	6.1	discard	label smoothing 0.1 — catastrophic for LM pretraining BPB
ee9ef04	1.322164	7.1	discard	z-loss 1e-4 — redundant with softcap, wastes compute
990ce6d	1.308625	6.1	keep	softcap 15→10 — tighter logit reg helps with noisy batch=8
7c8634f	1.309569	6.1	discard	softcap 10→8 — too tight, 10 is optimal
4fb6f46	1.308101	6.1	keep	softcap 10→12 — new best! 12 beats 10 and 15
6c9c7b0	1.310112	6.1	discard	Muon momentum ramp 300→600 — 300 is better
3e03233	1.309409	6.1	discard	scalar LR 0.5→0.3 — 0.5 is better
5d17aed	1.321328	6.0	discard	[EXPLORATORY] QK norm removed — QK norm is essential for convergence
--- H100 NVL Phase ---
4de5525	1.084707	45.1	keep	H100 baseline: DEPTH=8, 512-dim, 50.3M params, 505 steps
75dd16f	1.083814	45.1	keep	softcap 15→12 — MPS finding transfers to H100, -0.001
6ef18c9	1.093902	45.6	discard	DiffAttn — noise-cancelling sub-head pairs, but 21% fewer params (39.8M vs 50.3M)
0a6779d	1.084680	45.1	discard	WD 0.2→0.1 — doesn't transfer to H100, large batch prefers more WD
1f4ca8c	1.088027	80.8	discard	depth 8→12 same width 512-dim — 100.9M params, 250 steps, too few steps
a0da25b	1.059993	49.9	keep	deeper-thinner: depth 8→12, dim 512→384, 46.4M params, -0.024 ← BEST
8cbc79f	1.072298	65.1	discard	depth 16, dim 384 — 59.8M params, 379 steps, diminishing returns from depth
7302413	1.058801	50.0	keep	Muon LR 0.04→0.06 — retune for 384-dim, -0.001
c34ea3d	1.057306	50.0	keep	Muon LR 0.06→0.08 — further improvement, -0.001
505d270	1.062105	50.0	discard	Muon LR 0.08→0.10 — too high, regression
